X500microM_TR.Df;X500microM_TR.Sum.Sq;X500microM_TR.Mean.Sq;X500microM_TR.F.value;X500microM_TR.Pr..F.;X500microM_TS.Df;X500microM_TS.Sum.Sq;X500microM_TS.Mean.Sq;X500microM_TS.F.value;X500microM_TS.Pr..F.;X50microM_TR.Df;X50microM_TR.Sum.Sq;X50microM_TR.Mean.Sq;X50microM_TR.F.value;X50microM_TR.Pr..F.;X50microM_TS.Df;X50microM_TS.Sum.Sq;X50microM_TS.Mean.Sq;X50microM_TS.F.value;X50microM_TS.Pr..F.
Treatment;2;0.0544130696404979;0.0272065348202489;18.8675039220467;8.99483271605599e-07;2;0.0325063211833868;0.0162531605916934;38.0400727638395;1.26163763882501e-10;2;0.0114220555849197;0.00571102779245984;24.3353326331667;5.04332227767522e-08;2;0.000326019805404456;0.000163009902702228;3.65709961961786;0.0332437941852306
Time;3;0.0189789123142514;0.00632630410475048;4.38723888569605;0.00829413975908741;3;0.0911612536558113;0.0303870845519371;71.120130814889;1.10450392150721e-17;3;0.00419578251399779;0.0013985941713326;5.9595672819388;0.00154052399582807;3;0.00032338337830669;0.000107794459435563;2.41835048094489;0.0776771002289022
Treatment:Time;6;0.00841211478208251;0.00140201913034708;0.972288518746617;0.454138961632019;6;0.0250176710118509;0.00416961183530848;9.75886115917443;5.11065997046779e-07;6;0.00373181037349754;0.000621968395582924;2.65027738331285;0.0265999836919421;6;0.000277526882233924;4.62544803723206e-05;1.03771145047695;0.412909553298858
Residuals;48;0.0692149675318731;0.00144197849024736;NA;NA;48;0.0205086807600138;0.000427264182500288;NA;NA;48;0.0112646635314309;0.000234680490238143;NA;NA;48;0.0021395302681212;4.4573547252525e-05;NA;NA
