X0microM_TR.Df;X0microM_TR.Sum.Sq;X0microM_TR.Mean.Sq;X0microM_TR.F.value;X0microM_TR.Pr..F.;X0microM_TS.Df;X0microM_TS.Sum.Sq;X0microM_TS.Mean.Sq;X0microM_TS.F.value;X0microM_TS.Pr..F.;X500microM_TR.Df;X500microM_TR.Sum.Sq;X500microM_TR.Mean.Sq;X500microM_TR.F.value;X500microM_TR.Pr..F.;X500microM_TS.Df;X500microM_TS.Sum.Sq;X500microM_TS.Mean.Sq;X500microM_TS.F.value;X500microM_TS.Pr..F.;X50microM_TR.Df;X50microM_TR.Sum.Sq;X50microM_TR.Mean.Sq;X50microM_TR.F.value;X50microM_TR.Pr..F.;X50microM_TS.Df;X50microM_TS.Sum.Sq;X50microM_TS.Mean.Sq;X50microM_TS.F.value;X50microM_TS.Pr..F.
Treatment;2;77.6300916989433;38.8150458494717;277.872306507911;4.06734720827399e-27;2;56.0625042796552;28.0312521398276;106.686797231043;2.16525299078495e-18;2;1004.90693173926;502.453465869631;33.7525895995929;7.03646771721748e-10;2;179.502655899646;89.7513279498232;15.2364378306059;7.52523507504926e-06;2;347.166333448776;173.583166724388;72.7876404489216;2.92006246342278e-15;2;72.553339047719;36.2766695238595;70.475710424296;5.21657924131603e-15
Time;3;12.3912629399604;4.1304209799868;29.5691935804636;5.63291079045418e-11;3;5.1108910336966;1.70363034456553;6.48400807144368;0.000897862531959228;3;235.646704489735;78.5489014965782;5.27656592262566;0.00316254446119917;3;1126.59626534145;375.532088447149;63.75138340261;9.11917960245235e-17;3;33.5116346860803;11.1705448953601;4.68408095557444;0.00599101910835423;3;7.51636758727571;2.50545586242524;4.86741986402587;0.00490905539029931
Treatment:Time;6;14.4487626298161;2.40812710496935;17.2394961380976;1.66380553876801e-10;6;7.90222161496844;1.31703693582807;5.01263560463083;0.000465447890349113;6;148.989548037794;24.8315913396323;1.66807588866126;0.149393460917154;6;436.378114450148;72.7296857416914;12.3467959812506;2.34820271579989e-08;6;41.3682077207162;6.89470128678603;2.89111581344823;0.0173554641767787;6;12.4849955333521;2.08083258889202;4.04249223815159;0.00233904353942187
Residuals;48;6.70495820252458;0.139686629219262;NA;NA;48;12.6116833350792;0.262743402814151;NA;NA;48;714.545658506546;14.886367885553;NA;NA;48;282.747436736019;5.89057159866706;NA;NA;48;114.469873612919;2.38478903360247;NA;NA;48;24.7075215937797;0.514740033203743;NA;NA
